asset_id,hostname,environment,application,service_owner,business_unit,status,region,os_type,lifecycle_state
ASSET-000001,inventory-service-dev-0001.internal,dev,inventory-service,Logistics Team,Logistics,active,us-east,windows,active
ASSET-000002,warehouse-management-staging-0002.internal,staging,warehouse-management,Logistics Team,Logistics,active,us-west,macos,active
ASSET-000003,search-service-prod-0003.internal,prod,search-service,Platform Engineering,Retail,decommissioned,ap-southeast,linux,active
ASSET-000004,auth-service-dev-0004.internal,dev,auth-service,Security Team,Platform,active,us-east,linux,provisioning
ASSET-000005,auth-service-dev-0005.internal,dev,auth-service,Security Team,Platform,active,us-east,linux,retired
ASSET-000006,fraud-detection-qa-0006.internal,qa,fraud-detection,Security Team,Finance,active,us-west,linux,active
ASSET-000007,inventory-service-prod-0007.internal,prod,inventory-service,Logistics Team,Logistics,active,eu-west,linux,active
ASSET-000008,recommendation-engine-staging-0008.internal,staging,recommendation-engine,Data Engineering,Retail,active,ap-southeast,linux,active
ASSET-000009,shipping-tracker-staging-0009.internal,staging,shipping-tracker,Logistics Team,Logistics,active,eu-west,windows,active
ASSET-000010,inventory-service-qa-0010.internal,qa,inventory-service,Logistics Team,Logistics,active,us-west,linux,active
ASSET-000011,billing-engine-dev-0011.internal,dev,billing-engine,Payments Team,Finance,active,ap-southeast,linux,active
ASSET-000012,api-gateway-qa-0012.internal,qa,api-gateway,SRE Team,Platform,active,us-east,windows,active
ASSET-000013,warehouse-management-dev-0013.internal,dev,warehouse-management,Logistics Team,Logistics,active,ap-southeast,linux,active
ASSET-000014,warehouse-management-staging-0014.internal,staging,warehouse-management,Logistics Team,Logistics,active,us-west,linux,active
ASSET-000015,recommendation-engine-dev-0015.internal,dev,recommendation-engine,Data Engineering,Retail,active,us-west,linux,deprecated
ASSET-000016,warehouse-management-dev-0016.internal,dev,warehouse-management,Logistics Team,Logistics,active,ap-southeast,linux,active
ASSET-000017,billing-engine-qa-0017.internal,qa,billing-engine,Payments Team,Finance,active,eu-west,linux,active
ASSET-000018,inventory-service-qa-0018.internal,qa,inventory-service,Logistics Team,Logistics,active,us-west,linux,active
ASSET-000019,fraud-detection-staging-0019.internal,staging,fraud-detection,Security Team,Finance,active,us-west,windows,active
ASSET-000020,auth-service-qa-0020.internal,qa,auth-service,Security Team,Platform,active,us-west,linux,active
ASSET-000021,billing-engine-prod-0021.internal,prod,billing-engine,Payments Team,Finance,active,ap-southeast,windows,active
ASSET-000022,notification-service-prod-0022.internal,prod,notification-service,Platform Engineering,Platform,active,us-east,windows,deprecated
ASSET-000023,payment-gateway-prod-0023.internal,prod,payment-gateway,Payments Team,Finance,active,us-east,linux,active
ASSET-000024,reporting-dashboard-staging-0024.internal,staging,reporting-dashboard,Data Engineering,Platform,decommissioned,us-west,linux,provisioning
ASSET-000025,warehouse-management-staging-0025.internal,staging,warehouse-management,Logistics Team,Logistics,active,us-west,windows,active
ASSET-000026,search-service-staging-0026.internal,staging,search-service,Platform Engineering,Retail,decommissioned,ap-southeast,linux,active
ASSET-000027,auth-service-qa-0027.internal,qa,auth-service,Security Team,Platform,active,us-east,linux,deprecated
ASSET-000028,fraud-detection-dev-0028.internal,dev,fraud-detection,Security Team,Finance,active,ap-southeast,linux,active
ASSET-000029,analytics-pipeline-qa-0029.internal,qa,analytics-pipeline,Data Engineering,Platform,active,ap-southeast,linux,active
ASSET-000030,auth-service-dev-0030.internal,dev,auth-service,Security Team,Platform,maintenance,us-west,linux,active
ASSET-000031,auth-service-dev-0031.internal,dev,auth-service,Security Team,Platform,maintenance,ap-southeast,linux,active
ASSET-000032,shipping-tracker-prod-0032.internal,prod,shipping-tracker,Logistics Team,Logistics,active,ap-southeast,linux,active
ASSET-000033,inventory-service-dev-0033.internal,dev,inventory-service,Logistics Team,Logistics,active,ap-southeast,windows,active
ASSET-000034,analytics-pipeline-qa-0034.internal,qa,analytics-pipeline,Data Engineering,Platform,active,us-west,linux,deprecated
ASSET-000035,reporting-dashboard-staging-0035.internal,staging,reporting-dashboard,Data Engineering,Platform,active,us-west,windows,active
ASSET-000036,order-service-dev-0036.internal,dev,order-service,Platform Engineering,Retail,decommissioned,ap-southeast,linux,provisioning
ASSET-000037,fraud-detection-prod-0037.internal,prod,fraud-detection,Security Team,Finance,active,us-west,linux,active
ASSET-000038,fraud-detection-dev-0038.internal,dev,fraud-detection,Security Team,Finance,active,us-east,linux,active
ASSET-000039,customer-portal-prod-0039.internal,prod,customer-portal,Customer Experience Team,Retail,active,eu-west,linux,active
ASSET-000040,search-service-prod-0040.internal,prod,search-service,Platform Engineering,Retail,active,us-west,linux,deprecated
ASSET-000041,payment-gateway-dev-0041.internal,dev,payment-gateway,Payments Team,Finance,active,ap-southeast,windows,provisioning
ASSET-000042,warehouse-management-dev-0042.internal,dev,warehouse-management,Logistics Team,Logistics,active,ap-southeast,linux,active
ASSET-000043,recommendation-engine-dev-0043.internal,dev,recommendation-engine,Data Engineering,Retail,active,us-east,macos,active
ASSET-000044,notification-service-qa-0044.internal,qa,notification-service,Platform Engineering,Platform,active,ap-southeast,linux,provisioning
ASSET-000045,inventory-service-dev-0045.internal,dev,inventory-service,Logistics Team,Logistics,active,ap-southeast,linux,active
ASSET-000046,api-gateway-prod-0046.internal,prod,api-gateway,SRE Team,Platform,decommissioned,ap-southeast,linux,active
ASSET-000047,auth-service-dev-0047.internal,dev,auth-service,Security Team,Platform,active,us-west,windows,active
ASSET-000048,reporting-dashboard-prod-0048.internal,prod,reporting-dashboard,Data Engineering,Platform,decommissioned,eu-west,linux,active
ASSET-000049,recommendation-engine-dev-0049.internal,dev,recommendation-engine,Data Engineering,Retail,active,ap-southeast,linux,active
ASSET-000050,warehouse-management-prod-0050.internal,prod,warehouse-management,Logistics Team,Logistics,maintenance,ap-southeast,linux,active
ASSET-000051,warehouse-management-dev-0051.internal,dev,warehouse-management,Logistics Team,Logistics,active,us-west,linux,active
ASSET-000052,payment-gateway-qa-0052.internal,qa,payment-gateway,Payments Team,Finance,active,eu-west,linux,active
ASSET-000053,notification-service-qa-0053.internal,qa,notification-service,Platform Engineering,Platform,active,us-west,windows,active
ASSET-000054,billing-engine-dev-0054.internal,dev,billing-engine,Payments Team,Finance,active,us-west,linux,active
ASSET-000055,billing-engine-prod-0055.internal,prod,billing-engine,Payments Team,Finance,active,eu-west,windows,active
ASSET-000056,order-service-dev-0056.internal,dev,order-service,Platform Engineering,Retail,active,us-west,linux,active
ASSET-000057,analytics-pipeline-qa-0057.internal,qa,analytics-pipeline,Data Engineering,Platform,maintenance,us-east,windows,active
ASSET-000058,payment-gateway-qa-0058.internal,qa,payment-gateway,Payments Team,Finance,active,eu-west,macos,active
ASSET-000059,warehouse-management-staging-0059.internal,staging,warehouse-management,Logistics Team,Logistics,active,us-west,linux,active
ASSET-000060,recommendation-engine-dev-0060.internal,dev,recommendation-engine,Data Engineering,Retail,active,eu-west,macos,provisioning
ASSET-000061,reporting-dashboard-dev-0061.internal,dev,reporting-dashboard,Data Engineering,Platform,active,us-west,windows,active
