incident_id,service,severity,status,opened_at,resolved_at,summary,root_cause
INC-000001,notification-service,SEV2,mitigated,2024-09-26 07:59:39,2024-09-26 11:53:41.085951522,Incident on notification-service triggered by an expired credential.,An upstream dependency exceeded its SLA during a regional failover.
INC-000002,payment-gateway,SEV4,open,2024-07-28 06:51:33,,Incident on payment-gateway triggered by elevated traffic beyond provisioned capacity.,
INC-000003,inventory-service,SEV3,resolved,2024-12-01 02:28:59,2024-12-01 02:48:39.384181070,Incident on inventory-service triggered by elevated traffic beyond provisioned capacity.,Capacity was not scaled ahead of a known traffic event.
INC-000004,analytics-pipeline,SEV3,resolved,2025-05-29 14:51:58,2025-05-29 21:06:54.361078600,Incident on analytics-pipeline triggered by a memory leak in a recent release.,Capacity was not scaled ahead of a known traffic event.
INC-000005,order-service,SEV4,open,2025-05-05 12:57:53,,Incident on order-service triggered by network partition between regions.,
INC-000006,analytics-pipeline,SEV4,resolved,2025-09-27 02:36:15,2025-09-27 08:25:32.659278210,Incident on analytics-pipeline triggered by network partition between regions.,A memory leak introduced in the previous release caused gradual degradation.
INC-000007,customer-portal,SEV4,resolved,2024-04-26 20:23:53,2024-04-27 03:39:44.212633856,Incident on customer-portal triggered by a downstream dependency timeout.,A configuration change was deployed without a canary rollout.
INC-000008,search-service,SEV2,resolved,2024-06-22 22:59:54,2024-06-23 02:56:02.677463910,Incident on search-service triggered by an expired credential.,A credential rotation job failed silently.
INC-000009,inventory-service,SEV4,resolved,2024-03-17 11:53:39,2024-03-17 18:00:05.218111188,Incident on inventory-service triggered by a downstream dependency timeout.,Capacity was not scaled ahead of a known traffic event.
INC-000010,order-service,SEV3,resolved,2024-12-16 07:01:53,2024-12-16 11:08:24.328556468,Incident on order-service triggered by database connection pool exhaustion.,Insufficient connection pool sizing for peak load.
INC-000011,warehouse-management,SEV3,resolved,2025-10-05 22:43:56,2025-10-06 03:51:39.052713800,Incident on warehouse-management triggered by an unhandled exception in a new code path.,A configuration change was deployed without a canary rollout.
INC-000012,billing-engine,SEV2,resolved,2025-06-07 03:08:34,2025-06-07 03:32:46.244920894,Incident on billing-engine triggered by an unhandled exception in a new code path.,Capacity was not scaled ahead of a known traffic event.
INC-000013,search-service,SEV1,resolved,2024-05-06 14:48:42,2024-05-06 18:22:05.131157106,Incident on search-service triggered by a memory leak in a recent release.,Capacity was not scaled ahead of a known traffic event.
INC-000014,reporting-dashboard,SEV4,resolved,2025-02-05 11:27:55,2025-02-05 13:45:58.942541086,Incident on reporting-dashboard triggered by a downstream dependency timeout.,A configuration change was deployed without a canary rollout.
INC-000015,fraud-detection,SEV4,mitigated,2025-02-06 12:25:48,2025-02-06 20:44:42.538185558,Incident on fraud-detection triggered by a memory leak in a recent release.,An upstream dependency exceeded its SLA during a regional failover.
INC-000016,billing-engine,SEV3,mitigated,2025-10-13 09:06:44,2025-10-13 12:22:12.491375798,Incident on billing-engine triggered by database connection pool exhaustion.,Insufficient connection pool sizing for peak load.
INC-000017,customer-portal,SEV4,resolved,2024-11-11 22:11:31,2024-11-11 22:39:37.383348682,Incident on customer-portal triggered by a misconfigured deployment.,Capacity was not scaled ahead of a known traffic event.
INC-000018,inventory-service,SEV4,mitigated,2025-11-30 21:45:59,2025-12-01 01:44:18.464817992,Incident on inventory-service triggered by a memory leak in a recent release.,A configuration change was deployed without a canary rollout.
INC-000019,payment-gateway,SEV4,open,2024-11-11 13:13:04,,Incident on payment-gateway triggered by a memory leak in a recent release.,
INC-000020,inventory-service,SEV3,resolved,2024-01-06 21:45:31,2024-01-07 03:50:56.028107650,Incident on inventory-service triggered by elevated traffic beyond provisioned capacity.,Capacity was not scaled ahead of a known traffic event.
INC-000021,auth-service,SEV4,resolved,2025-11-29 17:34:31,2025-11-30 00:09:07.742992168,Incident on auth-service triggered by a memory leak in a recent release.,Insufficient connection pool sizing for peak load.
INC-000022,warehouse-management,SEV3,resolved,2025-04-30 02:18:47,2025-04-30 04:21:42.311892920,Incident on warehouse-management triggered by an unhandled exception in a new code path.,Insufficient connection pool sizing for peak load.
INC-000023,fraud-detection,SEV4,resolved,2024-09-07 08:03:20,2024-09-07 14:04:09.705225824,Incident on fraud-detection triggered by an expired credential.,A credential rotation job failed silently.
INC-000024,shipping-tracker,SEV1,mitigated,2024-08-02 22:49:10,2024-08-03 00:19:39.404733118,Incident on shipping-tracker triggered by an unhandled exception in a new code path.,Insufficient connection pool sizing for peak load.
INC-000025,auth-service,SEV3,resolved,2024-05-11 15:50:33,2024-05-12 00:49:46.904601594,Incident on auth-service triggered by an unhandled exception in a new code path.,A configuration change was deployed without a canary rollout.
INC-000026,customer-portal,SEV2,resolved,2025-01-03 08:22:11,2025-01-03 17:09:47.979674594,Incident on customer-portal triggered by a downstream dependency timeout.,Insufficient connection pool sizing for peak load.
INC-000027,reporting-dashboard,SEV4,resolved,2024-02-03 06:38:54,2024-02-03 13:12:49.192027440,Incident on reporting-dashboard triggered by network partition between regions.,A credential rotation job failed silently.
INC-000028,customer-portal,SEV4,open,2024-12-15 14:09:16,,Incident on customer-portal triggered by a downstream dependency timeout.,
